Temperature;Fe2O3;Fe3O4;FeO;Fe
0;80.01;0;0;0
1;80.01;0;0;0
2;80.01;0;0;0
4;80.01;0;0;0
6;80.01;0;0;0
8;80.01;0;0;0
10;80.01;0;0;0
11;80.01;0;0;0
13;80.01;0;0;0
15;80.01;0;0;0
17;80.01;0;0;0
18;80.01;0;0;0
20;80.01;0;0;0
22;80.01;0;0;0
23;80.01;0;0;0
25;80.01;0;0;0
27;80.01;0;0;0
29;80.01;0;0;0
31;80.01;0;0;0
32;80.01;0;0;0
34;80.01;0;0;0
36;80.01;0;0;0
37;80.01;0;0;0
39;80.01;0;0;0
41;80.01;0;0;0
43;80.01;0;0;0
44;80.01;0;0;0
46;80.01;0;0;0
48;80.01;0;0;0
50;80.01;0;0;0
51;80.01;0;0;0
53;80.01;0;0;0
55;80.01;0;0;0
57;80.01;0;0;0
58;80.01;0;0;0
60;80.01;0;0;0
62;80.01;0;0;0
64;80.01;0;0;0
65;80.01;0;0;0
67;80.01;0;0;0
69;80.01;0;0;0
71;80.01;0;0;0
72;80.01;0;0;0
74;80.01;0;0;0
76;80.01;0;0;0
78;80.01;0;0;0
79;80.01;0;0;0
81;80.01;0;0;0
83;80.01;0;0;0
84;80.01;0;0;0
86;80.01;0;0;0
88;80.01;0;0;0
90;80.01;0;0;0
91;80.01;0;0;0
93;80.01;0;0;0
95;80.01;0;0;0
97;80.01;0;0;0
98;80.01;0;0;0
100;80.01;0;0;0
102;80.01;0;0;0
104;80.01;0;0;0
105;80.01;0;0;0
107;80.01;0;0;0
109;80.01;0;0;0
110;80.01;0;0;0
112;80.01;0;0;0
114;80.01;0;0;0
116;80.01;0;0;0
117;80.01;0;0;0
119;80.01;0;0;0
121;80.01;0;0;0
123;80.01;0;0;0
125;80.01;0;0;0
127;80.01;0;0;0
129;80.01;0;0;0
131;80.01;0;0;0
133;80.01;0;0;0
135;80.01;0;0;0
137;80.01;0;0;0
139;80.01;0;0;0
140;80.01;0;0;0
142;80.01;0;0;0
144;80.01;0;0;0
146;80.01;0;0;0
147;80.01;0;0;0
149;80.01;0;0;0
151;80.01;0;0;0
152;80.01;0;0;0
154;80.01;0;0;0
156;80.01;0;0;0
158;80.01;0;0;0
159;80.01;0;0;0
161;80.01;0;0;0
163;80.01;0;0;0
165;80.01;0;0;0
166;80.01;0;0;0
168;80.01;0;0;0
170;80.01;0;0;0
172;80.01;0;0;0
173;80.01;0;0;0
175;80.01;0;0;0
177;80.01;0;0;0
179;80.01;0;0;0
180;80.01;0;0;0
182;80.01;0;0;0
184;80.01;0;0;0
186;80.01;0;0;0
187;80.01;0;0;0
189;80.01;0;0;0
191;80.01;0;0;0
193;80.01;0;0;0
195;80.01;0;0;0
197;80.01;0;0;0
199;80.01;0;0;0
201;80.01;0;0;0
204;80.01;0;0;0
206;79.87;0.14;0;0
208;79.87;0.14;0;0
210;79.79;0.22;0;0
212;79.79;0.22;0;0
214;79.67;0.34;0;0
215;79.52;0.49;0;0
217;79.36;0.65;0;0
219;79.17;0.84;0;0
221;78.9;1.11;0;0
223;78.58;1.43;0;0
225;78.25;1.76;0;0
227;77.85;2.16;0;0
229;77.45;2.56;0;0
230;77.01;3;0;0
232;76.53;3.48;0;0
234;76.06;3.95;0;0
236;75.55;4.46;0;0
238;75.04;4.97;0;0
240;74.5;5.51;0;0
242;73.97;6.04;0;0
244;73.32;6.69;0;0
246;72.64;7.37;0;0
248;71.98;8.03;0;0
251;71.98;8.03;0;0
253;71.27;8.74;0;0
255;71.27;8.74;0;0
257;70.6;9.41;0;0
259;70.6;9.41;0;0
261;69.89;10.12;0;0
263;69.89;10.12;0;0
265;69.18;10.83;0;0
268;69.18;10.83;0;0
270;68.46;11.55;0;0
272;67.76;12.25;0;0
273;67.02;12.99;0;0
275;66.34;13.67;0;0
277;65.7;14.31;0;0
279;65;15.01;0;0
281;64.31;15.7;0;0
283;63.57;16.44;0;0
285;62.93;17.08;0;0
287;62.25;17.76;0;0
289;61.54;18.47;0;0
291;60.87;19.14;0;0
292;60.21;19.8;0;0
294;59.58;20.43;0;0
296;58.89;21.12;0;0
298;58.21;21.8;0;0
300;57.57;22.44;0;0
302;56.9;23.11;0;0
304;56.26;23.75;0;0
306;56.26;23.75;0;0
308;55.59;24.42;0;0
311;55.59;24.42;0;0
313;54.93;25.08;0;0
315;54.93;25.08;0;0
317;54.32;25.69;0;0
319;54.32;25.69;0;0
321;53.68;26.33;0;0
323;53.68;26.33;0;0
325;53.09;26.92;0;0
327;53.09;26.92;0;0
329;52.49;27.52;0;0
330;51.86;28.15;0;0
332;50.69;29.32;0;0
334;50.13;29.88;0;0
335;49.56;30.45;0;0
337;48.41;31.6;0;0
339;47.89;32.12;0;0
341;47.32;32.69;0;0
343;46.72;33.29;0;0
345;46.2;33.81;0;0
346;45.69;34.32;0;0
347;44.61;35.4;0;0
349;43.56;36.45;0;0
351;43.05;36.96;0;0
352;42.52;37.49;0;0
353;42.03;37.98;0;0
355;40.99;39.02;0;0
357;40.5;39.51;0;0
359;39.99;40.02;0;0
360;38.96;41.05;0;0
362;38.47;41.54;0;0
363;37.93;42.08;0;0
365;37.42;42.59;0;0
368;36.93;43.08;0;0
370;36.44;43.57;0;0
372;35.98;44.03;0;0
375;35.53;44.48;0;0
377;35.07;44.94;0;0
379;34.62;45.39;0;0
381;34.15;45.86;0;0
384;33.73;46.28;0;0
385;33.24;46.77;0;0
386;32.78;47.23;0;0
388;32.3;47.71;0;0
389;31.39;48.62;0;0
391;30.96;49.05;0;0
392;30.11;49.9;0;0
394;29.35;50.66;0;0
396;28.51;51.5;0;0
398;27.71;52.3;0;0
400;27.32;52.69;0;0
401;26.94;53.07;0;0
402;26.52;53.49;0;0
403;26.1;53.91;0;0
404;25.69;54.32;0;0
405;24.8;55.21;0;0
407;23.97;56.04;0;0
409;23.18;56.83;0;0
411;22.78;57.23;0;0
413;22.01;58;0;0
415;21.27;58.74;0;0
417;20.93;59.08;0;0
418;20.57;59.44;0;0
419;20.24;59.77;0;0
421;19.88;60.13;0;0
424;19.57;60.44;0;0
426;19.23;60.78;0;0
429;18.86;61.15;0;0
431;18.51;61.5;0;0
433;18.18;61.83;0;0
436;17.8;62.21;0;0
438;17.43;62.58;0;0
440;17.07;62.94;0;0
442;16.73;63.28;0;0
443;16.08;63.93;0;0
445;15.76;64.25;0;0
446;15.43;64.58;0;0
447;15.14;64.87;0;0
448;14.83;65.18;0;0
450;14.52;65.49;0;0
451;14.24;65.77;0;0
452;13.6;66.41;0;0
454;13.3;66.71;0;0
455;12.72;67.29;0;0
457;12.15;67.86;0;0
459;11.87;68.14;0;0
460;11.58;68.43;0;0
461;11.28;68.73;0;0
462;11.01;69;0;0
463;10.72;69.29;0;0
465;10.42;69.59;0;0
466;9.9;70.11;0;0
468;9.42;70.59;0;0
470;9.17;70.84;0;0
471;8.68;71.33;0;0
473;8.23;71.78;0;0
475;8;72.01;0;0
477;7.78;72.23;0;0
479;7.56;72.45;0;0
481;7.35;72.66;0;0
484;7.16;72.85;0;0
486;6.93;73.08;0;0
488;6.72;73.29;0;0
491;6.52;73.49;0;0
493;6.3;73.71;0;0
495;6.09;73.92;0;0
498;5.89;74.12;0;0
499;5.68;74.33;0;0
500;5.48;74.53;0;0
501;5.27;74.74;0;0
502;4.84;75.17;0;0
504;4.63;75.38;0;0
505;4.43;75.58;0;0
506;4.26;75.75;0;0
508;4.09;75.92;0;0
509;3.75;76.26;0;0
511;3.56;76.45;0;0
512;3.23;76.78;0;0
514;2.9;77.11;0;0
516;2.79;77.22;0;0
517;2.66;77.35;0;0
518;2.53;77.48;0;0
519;2.42;77.59;0;0
520;2.16;77.85;0;0
522;1.9;78.11;0;0
524;1.75;78.26;0;0
525;1.51;78.5;0;0
527;1.38;78.63;0;0
528;1.26;78.75;0;0
530;1.05;78.96;0;0
532;0.97;79.04;0;0
533;0.88;79.13;0;0
535;0.79;79.22;0;0
537;0.72;79.29;0;0
539;0.65;79.36;0;0
542;0.59;79.42;0;0
544;0.53;79.48;0;0
547;0.46;79.55;0;0
549;0.41;79.6;0;0
551;0.36;79.65;0;0
553;0.3;79.71;0;0
555;0.21;79.8;0;0
557;0.17;79.84;0;0
559;0.13;79.88;0;0
560;0.07;79.94;0;0
562;0.02;79.99;0;0
564;0;80.01;0;0
565;0;80.03;0;0
566;0;80.05;0;0
568;0;80.06;0;0
569;0;80.06;0;0
570;0;80.07;0;0
572;0;80.07;0;0
573;0;80.08;0;0
575;0;80.08;0;0
577;0;80.08;0;0
578;0;80.08;0;0
581;0;80.08;0;0
582;0;80.08;0;0
584;0;80.08;0;0
585;0;80.08;0;0
587;0;80.08;0;0
588;0;80.08;0;0
591;0;80.08;0;0
594;0;80.08;0;0
596;0;80.08;0;0
598;0;80.08;0;0
601;0;80.08;0;0
603;0;80.08;0;0
605;0;80.08;0;0
607;0;80.08;0;0
609;0;80.08;0;0
612;0;80.08;0;0
613;0;80.08;0;0
615;0;80.08;0;0
617;0;80.08;0;0
618;0;80.08;0;0
619;0;80.08;0;0
622;0;80.08;0;0
623;0;80.08;0;0
625;0;80.08;0;0
627;0;80.08;0;0
628;0;80.08;0;0
629;0;80.08;0;0
631;0;80.08;0;0
632;0;80.08;0;0
634;0;80.08;0;0
635;0;80.08;0;0
637;0;80.08;0;0
639;0;80.08;0;0
640;0;80.08;0;0
642;0;80.08;0;0
643;0;80.08;0;0
644;0;80.08;0;0
648;0;80.08;0;0
650;0;80.08;0;0
652;0;80.08;0;0
655;0;80.08;0;0
657;0;80.08;0;0
659;0;80.08;0;0
662;0;80.08;0;0
664;0;80.08;0;0
666;0;80.08;0;0
669;0;80.08;0;0
670;0;80.08;0;0
672;0;80.08;0;0
674;0;80.08;0;0
675;0;80.08;0;0
676;0;80.08;0;0
678;0;80.08;0;0
679;0;80.08;0;0
680;0;80.08;0;0
681;0;80.08;0;0
682;0;80.08;0;0
684;0;80.08;0;0
686;0;80.08;0;0
687;0;80.08;0;0
689;0;80.08;0;0
691;0;80.08;0;0
692;0;80.08;0;0
694;0;80.08;0;0
695;0;80.08;0;0
697;0;80.08;0;0
699;0;80.08;0;0
700;0;80.08;0;0
702;0;80.08;0;0
703;0;79.89;0.19;0
706;0;79.89;0.19;0
708;0;79.68;0.4;0
710;0;79.68;0.4;0
713;0;79.4;0.68;0
715;0;79.4;0.68;0
718;0;79;1.08;0
720;0;79;1.08;0
723;0;78.53;1.55;0
726;0;77.95;2.13;0
728;0;77.28;2.8;0
731;0;77.28;2.8;0
732;0;76.52;3.56;0
733;0;76.52;3.56;0
734;0;75.73;4.35;0
736;0;74.89;5.19;0
738;0;74.04;6.04;0
740;0;74.04;6.04;0
742;0;73.12;6.96;0
743;0;73.12;6.96;0
744;0;72.12;7.96;0
745;0;72.12;7.96;0
746;0;71.12;8.96;0
748;0;71.12;8.96;0
750;0;70.05;10.03;0
753;0;70.05;10.03;0
756;0;68.99;11.09;0
759;0;68.99;11.09;0
761;0;67.94;12.14;0
764;0;67.94;12.14;0
766;0;66.9;13.18;0
769;0;66.9;13.18;0
771;0;65.85;14.23;0
773;0;64.84;15.24;0
775;0;64.84;15.24;0
776;0;63.87;16.21;0
777;0;63.87;16.21;0
778;0;62.85;17.23;0
779;0;61.85;18.23;0
781;0;61.85;18.23;0
783;0;60.87;19.21;0
784;0;60.87;19.21;0
785;0;59.89;20.19;0
786;0;58.91;21.17;0
788;0;58.91;21.17;0
789;0;57.91;22.17;0
791;0;57;23.08;0
793;0;56.07;24.01;0
795;0;55.16;24.92;0
798;0;55.16;24.92;0
799;0;54.22;25.86;0
800;0;53.31;26.77;0
802;0;53.31;26.77;0
803;0;52.4;27.68;0
804;0;51.49;28.59;0
806;0;51.49;28.59;0
808;0;50.66;29.42;0
811;0;50.66;29.42;0
813;0;49.83;30.25;0
816;0;48.98;31.1;0
819;0;48.19;31.89;0
821;0;47.4;32.68;0
824;0;46.59;33.49;0
827;0;45.78;34.3;0
829;0;44.98;35.1;0
832;0;44.2;35.88;0
834;0;43.39;36.69;0
837;0;42.6;37.48;0
839;0;41.85;38.23;0
840;0;41.06;39.02;0
842;0;40.34;39.74;0
843;0;39.56;40.52;0
844;0;38.83;41.25;0
845;0;38.04;42.04;0
847;0;37.32;42.76;0
848;0;36.6;43.48;0
849;0;35.94;44.14;0
850;0;35.25;44.83;0
851;0;34.55;45.53;0
853;0;33.91;46.17;0
854;0;33.23;46.85;0
855;0;32.54;47.54;0
856;0;31.91;48.17;0
857;0;31.22;48.86;0
859;0;30.61;49.47;0
860;0;29.96;50.12;0
861;0;29.34;50.74;0
863;0;28.74;51.34;0
866;0;28.14;51.94;0
869;0;27.48;52.6;0
871;0;26.86;53.22;0
874;0;26.28;53.8;0
876;0;25.64;54.44;0
879;0;25.05;55.03;0
881;0;24.4;55.68;0
884;0;23.83;56.25;0
887;0;23.28;56.8;0
889;0;22.75;57.33;0
892;0;22.21;57.87;0
895;0;21.68;58.4;0
897;0;21.13;58.95;0
898;0;20.56;59.52;0
899;0;20.03;60.05;0
900;0;19.5;60.58;0
902;0;18.97;61.11;0
903;0;18.46;61.62;0
904;0;17.95;61.86;0.27
906;0;17.46;62.35;0.27
907;0;16.99;62.46;0.63
909;0;16.52;62.93;0.63
910;0;16.02;62.88;1.18
912;0;15.58;63.32;1.18
913;0;15.14;63.14;1.8
914;0;14.68;63.6;1.8
915;0;14.25;63.26;2.57
917;0;13.8;63.71;2.57
918;0;13.36;63.31;3.41
920;0;12.92;63.75;3.41
921;0;12.49;63.23;4.36
922;0;12.06;63.66;4.36
923;0;11.67;63.02;5.39
925;0;11.23;63.46;5.39
926;0;10.82;62.76;6.5
927;0;10.41;63.17;6.5
928;0;10.03;62.39;7.66
930;0;9.65;62.77;7.66
933;0;9.27;61.93;8.88
936;0;8.88;62.32;8.88
939;0;8.54;61.51;10.03
942;0;8.21;61.84;10.03
945;0;7.88;60.98;11.22
948;0;7.55;61.31;11.22
950;0;7.24;60.45;12.39
953;0;6.9;60.79;12.39
956;0;6.59;60.01;13.48
959;0;6.27;60.33;13.48
962;0;5.98;59.54;14.56
964;0;5.66;59.86;14.56
966;0;5.37;59.07;15.64
967;0;5.07;59.37;15.64
969;0;4.78;58.59;16.71
970;0;4.5;58.87;16.71
971;0;4.23;58.09;17.76
973;0;4;58.32;17.76
974;0;3.76;57.44;18.88
976;0;3.54;57.66;18.88
977;0;3.28;56.82;19.98
978;0;3.04;57.06;19.98
980;0;2.8;56.24;21.04
981;0;2.62;56.42;21.04
982;0;2.43;55.52;22.13
984;0;2.27;55.68;22.13
985;0;2.09;54.84;23.15
987;0;1.92;55.01;23.15
989;0;1.76;54.1;24.22
993;0;1.6;54.26;24.22
996;0;1.45;53.41;25.22
999;0;1.28;53.58;25.22
1001;0;1.13;52.71;26.24
1005;0;1.01;52.83;26.24
1007;0;0.9;51.97;27.21
1011;0;0.79;52.08;27.21
1013;0;0.67;51.19;28.22
1016;0;0.58;50.3;29.2
1020;0;0.5;49.39;30.19
1022;0;0.41;49.48;30.19
1023;0;0.34;48.56;31.18
1024;0;0.29;47.62;32.17
1026;0;0.22;46.75;33.11
1027;0;0.18;45.82;34.08
1029;0;0.14;44.9;35.04
1030;0;0.09;44;35.99
1031;0;0.05;43.11;36.92
1033;0;0.03;42.24;37.81
1034;0;0.02;41.34;38.72
1036;0;0.02;40.42;39.64
1037;0;0.02;39.57;40.49
1038;0;0.02;38.67;41.39
1040;0;0.02;37.78;42.28
1041;0;0.02;36.92;43.14
1043;0;0.02;36.04;44.02
1045;0;0.02;35.18;44.88
1048;0;0.02;34.4;45.66
1051;0;0.02;33.56;46.5
1054;0;0.02;32.69;47.37
1057;0;0.02;31.92;48.14
1060;0;0.02;31.16;48.9
1063;0;0.02;30.36;49.7
1066;0;0.02;29.59;50.47
1069;0;0.02;28.82;51.24
1072;0;0.02;28.09;51.97
1074;0;0.02;27.38;52.68
1077;0;0.02;26.67;53.39
1079;0;0.02;25.99;54.07
1080;0;0.02;25.27;54.79
1081;0;0.02;24.53;55.53
1083;0;0.02;23.81;56.25
1084;0;0.02;23.05;57.01
1085;0;0.02;22.38;57.68
1087;0;0.02;21.73;58.33
1088;0;0.02;21.06;59
1089;0;0.02;20.4;59.66
1091;0;0.02;19.78;60.28
1092;0;0.02;19.18;60.88
1093;0;0.02;18.53;61.53
1095;0;0.02;17.91;62.15
1096;0;0.02;17.3;62.76
1098;0;0.02;16.66;63.4
1099;0;0.02;16.05;64.01
1101;0;0.02;15.46;64.6
1105;0;0.02;14.91;65.15
1108;0;0.02;14.37;65.69
1111;0;0.02;13.82;66.24
1114;0;0.02;13.28;66.78
1117;0;0.02;12.76;67.3
1120;0;0.02;12.23;67.83
1123;0;0.02;11.74;68.32
1126;0;0.02;11.26;68.8
1129;0;0.02;10.77;69.29
1132;0;0.02;10.25;69.81
1135;0;0.02;9.8;70.26
1136;0;0.02;9.3;70.76
1137;0;0.02;8.86;71.2
1138;0;0.02;8.42;71.64
1140;0;0.02;7.98;72.08
1141;0;0.02;7.54;72.52
1143;0;0.02;7.16;72.9
1144;0;0.02;6.79;73.27
1145;0;0.02;6.38;73.68
1147;0;0.02;6.01;74.05
1148;0;0.02;5.62;74.44
1149;0;0.02;5.26;74.8
1151;0;0.02;4.91;75.15
1152;0;0.02;4.57;75.49
1153;0;0.02;4.22;75.84
1155;0;0.02;3.89;76.17
1156;0;0.02;3.6;76.46
1158;0;0.02;3.31;76.75
1161;0;0.02;3.05;77.01
1164;0;0.02;2.77;77.29
1168;0;0.02;2.52;77.54
1170;0;0.02;2.27;77.79
1174;0;0.02;2.04;78.02
1177;0;0.02;1.83;78.23
1180;0;0.02;1.59;78.47
1183;0;0.02;1.42;78.64
1186;0;0.02;1.22;78.84
1189;0;0.02;1.06;79
1192;0;0.02;0.9;79.16
1193;0;0.02;0.75;79.31
1194;0;0.02;0.61;79.45
1196;0;0.02;0.49;79.57
1197;0;0.02;0.38;79.68
1199;0;0.02;0.27;79.79
1200;0;0.02;0.19;79.87
Total time:;120.20;s
Inclusion:;20;%
