Temperature;Fe2O3;Fe3O4;FeO;Fe
380;8.43;71.6;0;0
382;8.08;71.95;0;0
384;7.73;72.3;0;0
386;7.42;72.61;0;0
389;7.09;72.94;0;0
392;6.77;73.26;0;0
394;6.47;73.56;0;0
396;6.14;73.89;0;0
398;5.85;74.18;0;0
400;5.3;74.73;0;0
402;5.05;74.98;0;0
403;4.77;75.26;0;0
404;4.49;75.54;0;0
406;4.24;75.79;0;0
407;4.01;76.02;0;0
408;3.53;76.5;0;0
410;3.11;76.92;0;0
411;2.68;77.35;0;0
413;2.46;77.57;0;0
414;2.06;77.97;0;0
416;1.89;78.14;0;0
417;1.71;78.32;0;0
418;1.54;78.49;0;0
419;1.2;78.83;0;0
421;0.94;79.09;0;0
423;0.8;79.23;0;0
424;0.56;79.47;0;0
426;0.47;79.56;0;0
427;0.28;79.75;0;0
429;0.2;79.83;0;0
430;0.12;79.91;0;0
432;0;80.03;0;0
434;0;80.06;0;0
436;0;80.08;0;0
438;0;80.09;0;0
441;0;80.09;0;0
443;0;80.09;0;0
445;0;80.09;0;0
447;0;80.09;0;0
450;0;80.09;0;0
452;0;80.09;0;0
454;0;80.09;0;0
456;0;80.09;0;0
458;0;80.09;0;0
459;0;80.09;0;0
461;0;80.09;0;0
463;0;80.09;0;0
464;0;80.09;0;0
466;0;80.09;0;0
468;0;80.09;0;0
470;0;80.09;0;0
472;0;80.09;0;0
473;0;80.09;0;0
474;0;80.09;0;0
476;0;80.09;0;0
477;0;80.09;0;0
478;0;80.09;0;0
481;0;80.09;0;0
482;0;80.09;0;0
483;0;80.09;0;0
485;0;80.09;0;0
486;0;80.09;0;0
487;0;80.09;0;0
490;0;80.09;0;0
491;0;80.09;0;0
493;0;80.09;0;0
496;0;80.09;0;0
498;0;80.09;0;0
500;0;80.09;0;0
502;0;80.09;0;0
504;0;80.09;0;0
506;0;80.09;0;0
508;0;80.09;0;0
510;0;80.09;0;0
513;0;80.09;0;0
514;0;80.09;0;0
516;0;80.09;0;0
518;0;80.09;0;0
519;0;80.09;0;0
521;0;80.09;0;0
522;0;80.09;0;0
523;0;80.09;0;0
525;0;80.09;0;0
526;0;80.09;0;0
528;0;80.09;0;0
529;0;80.09;0;0
531;0;80.09;0;0
533;0;80.09;0;0
534;0;80.09;0;0
537;0;80.09;0;0
539;0;80.09;0;0
540;0;80.09;0;0
542;0;80.09;0;0
543;0;80.09;0;0
545;0;80.09;0;0
547;0;80.09;0;0
549;0;80.09;0;0
551;0;80.09;0;0
553;0;80.09;0;0
556;0;80.09;0;0
558;0;80.09;0;0
560;0;80.09;0;0
562;0;80.09;0;0
565;0;80.09;0;0
567;0;80.09;0;0
569;0;80.09;0;0
570;0;80.09;0;0
572;0;80.09;0;0
574;0;80.09;0;0
576;0;80.09;0;0
577;0;80.09;0;0
578;0;80.09;0;0
579;0;80.09;0;0
581;0;80.09;0;0
583;0;80.09;0;0
584;0;80.09;0;0
586;0;80.09;0;0
588;0;80.09;0;0
589;0;80.09;0;0
591;0;80.09;0;0
593;0;80.09;0;0
594;0;80.09;0;0
595;0;80.09;0;0
597;0;80.09;0;0
599;0;80.09;0;0
600;0;80.09;0;0
602;0;80.09;0;0
605;0;80.09;0;0
607;0;80.09;0;0
609;0;80.09;0;0
611;0;80.09;0;0
614;0;80.09;0;0
616;0;80.09;0;0
618;0;80.09;0;0
620;0;80.09;0;0
622;0;80.09;0;0
625;0;80.09;0;0
626;0;80.09;0;0
627;0;80.09;0;0
630;0;80.09;0;0
631;0;80.09;0;0
632;0;80.09;0;0
634;0;80.09;0;0
636;0;80.09;0;0
638;0;80.09;0;0
640;0;80.09;0;0
641;0;80.09;0;0
643;0;80.09;0;0
645;0;80.09;0;0
647;0;80.09;0;0
648;0;80.09;0;0
650;0;80.09;0;0
652;0;80.09;0;0
653;0;80.09;0;0
655;0;80.09;0;0
656;0;80.09;0;0
658;0;80.09;0;0
660;0;80.09;0;0
661;0;80.09;0;0
663;0;80.09;0;0
665;0;80.09;0;0
667;0;80.09;0;0
670;0;80.09;0;0
